id,title,authors,genre,isbn,num_pages,publisher,publication_date,price
76,El secuestro de Robles Martínez,Pablo Rumel,unknown,nan,91,Aire Libro / Biblioteca de Chilenia,2012-07-20,33.0
77,As I Walk These Broken Roads,D.M.J. Aurini,unknown,nan,324,CreateSpace Independent Publishing Platform,2012-10-16,27.25
78,Blackout in the Garden of Love (Love Blooms Series Vol#1),Venice Kennedy,romance,nan,29,Venice Kennedy,2012-10-07,40.0
79,Crime and Punishment,"Fyodor Dostoyevsky,Constance Garnett",fiction,1936041855,369,Simon & Brown,2011-01-18,20.0
80,The Saturdays,Elizabeth Enright,fiction,0030896908,192,"Henry Holt & Company, Inc.",1941-01-28,20.0
81,The Master and His Emissary: The Divided Brain and the Making of the Western World,Iain McGilchrist,science,0300168926,534,"Yale University Press (New Haven, CT)",2010-11-02,16.75
82,Fire and Sword,Edward Marston,fiction,0749008954,364,Allison & Busby,2011-01-01,16.25
83,Revenge Of The Living Dummy (Goosebumps HorrorLand #1),R.L. Stine,fiction,1407106937,128,Scholastic,2008-07-01,13.75
84,The Chivalry of Crime: A Novel,Desmond Barry,fiction,0316120847,480,Back Bay Books,2001-03-07,7.0
85,The Ticket,Debra Coleman Jeter,fiction,1941103863,210,Firefly Southern Fiction,2015-05-20,9.0
86,Say It in Polish,"Dover Publications Inc.,Victor Raysman",unknown,0486208087,127,Dover Publications,1955-06-01,40.75
87,Baptism of Fire,Andrzej Sapkowski,fantasy,0316219169,288,Orbit,2014-06-24,19.5
88,Last Exit to Utopia: The Survival of Socialism in a Post-Soviet Era,"Jean-Francois Revel,Diarmid Cammell",history,1594032645,300,Encounter Books,2009-12-15,36.0
89,The Prince and the Potty,Wendy Cheyette Lewison,unknown,0689878087,40,Simon & Schuster Books for Young Readers,2006-07-01,16.75
90,The Dead City Rollers,R.T. Stroud,unknown,1783065885,384,Troubador Publishing Ltd,2014-10-28,16.5
91,The Confederate Navy: A Pictorial History,Philip Van Doren Stern,history,0306804883,256,Da Capo Press,1992-08-21,33.75
92,The Greatest Gift: The Original Story That Inspired the Christmas Classic It's a Wonderful Life,Philip Van Doren Stern,fiction,0670862045,80,Avery Publishing Group,1996-11-01,12.75
93,"The Secret Service of the Confederate States in Europe: or, How the Confederate Cruisers Were Equipped",James Dunwoody Bulloch,history,0679640223,672,Modern Library,2001-06-12,32.75
94,Louder Than Everything You Love,Nicole Rollender,unknown,1942004192,118,ELJ Publications,2015-12-23,22.0
95,Home and Heart,Chris Quinton,romance,nan,103,Kouros Books,2013-10-25,42.5
96,Inspiring Experiences That Build Faith: From the Life and Ministry of Thomas S. Monson,Thomas S. Monson,history,0875799019,277,Shadow Mountain,1996-01-01,7.0
97,George House Heritage Bed & Breakfast Kitchen Recipes,"Todd Warren,Dale Cameron",unknown,nan,257,Flanker Press,2010-06-28,23.25
98,"Anibal, El Orgullo De Cartago","David Anthony Durham,Montserrat Gurgui",fiction,8466626999,580,Ediciones B,2006-11-01,32.75
99,La aventura de los romanos en hispania,Juan Antonio Cebrian,history,8497341708,223,La Esfera de los Libros,2004-04-02,31.75
100,Where Borders Bleed: An Insider's Account of Indo-Pak Relations,Rajiv Dogra,unknown,8129135736,296,Rupa Publications,2015-01-01,15.25
101,"Tendre et violente Elisabeth (Les semailles et les moissons, #4)",Henri Troyat,fiction,2266107046,469,Pocket,2000-10-02,18.75
102,FIRST WEEK AT COW SCHOOL,"Andy Cutbill,Russell Ayto",unknown,0007274688,32,HarperCollinsChildren'sBooks,2011-07-07,43.75
103,Sleuthing at Sweet Springs (Sleuth Sisters #4),Maggie Pill,mystery,1944502041,292,Gwendolyn Books,2016-06-30,34.25
104,The Astrology Yearbook,Joan Moore,fiction,1858331196,144,Whitecap Books,1994-06-01,16.5
105,Daydreams: An End to My Nightmares,Daniel Parkins,unknown,1598864580,175,Tate Publishing & Enterprises,2006-10-01,34.0
106,"Heroine Worship (Heroine Complex, #2)",Sarah Kuhn,fantasy,0756413265,384,Daw Books,2017-07-04,42.75
107,"The Beatles Are Here!: 50 Years after the Band Arrived in America, Writers, Musicians  Other Fans Remember",Penelope Rowlands,history,1616203501,288,Algonquin Books,2014-02-04,27.5
108,"Out of Order (The Survivor's Club, #1)",Casey Lawrence,romance,1634760123,180,Harmony Ink Press,2015-03-21,29.25
109,Worth the Wait (Guthrie Brothers #2),Lori Foster,romance,037378967X,384,Harlequin Books,2017-07-25,39.0
110,Books of Blood 1 (Books of Blood #1),Clive Barker,fiction,nan,213,"Little, Brown Book Group",2015-10-26,28.25
111,"Collateral Damage (Hidden Scars, #2)",A.M. Myers,romance,1535144068,406,FinLi Publishing,2016-07-20,21.0
112,A Girl Named Mary,Mary Jo Nickum,unknown,nan,202,Smashwords Edition,2016-06-27,12.75
113,"To Shield the Queen (Ursula Blanchard, #1)",Fiona Buckley,mystery,0671015311,336,Pocket Books,1998-10-01,20.75
114,"Milan könyve (Bíborhajú, #4)",Benina,unknown,nan,304,Konyvmolykepzo,2013-11-30,17.0
115,"Shameless Embraces (Bound Hearts, #6-7)",Lora Leigh,romance,1419954652,358,Ellora's Cave,2007-03-01,31.0
116,Su Seviyesi,"Joseph Brodsky,Emre Aganoglu",fiction,nan,128,Everest Yayinlari,2017-05-26,25.75
117,Children's Party and Games Book,Joyce Nicholson,unknown,0716020076,128,Elliot Right Way Books,1992-11-17,5.5
118,Reagan at Reykjavik: Forty-Eight Hours That Ended the Cold War,Ken Adelman,history,0062310194,384,Broadside Books,2014-05-06,26.75
119,The Visitor,Sheri S. Tepper,fantasy,0380821001,512,Harper Voyager,2003-04-29,21.5
120,"Volition (The Perception Trilogy, #2)","Lee Strauss,Elle Strauss",romance,nan,219,ESB Publishing,2013-04-10,21.75
121,Sherlock Holmes: Year One,"Scott Beatty,Daniel Indro",mystery,1606902172,144,Dynamite Entertainment,2011-11-01,36.75
122,"Stealing Mr. Right (Penelope Blue, #1)",Tamara Morgan,romance,nan,416,Sourcebooks Casablanca,2017-03-07,44.5
123,"Naoki Urasawa's 20th Century Boys, Volume 20 (20th Century Boys, #20)",Naoki Urasawa,mystery,1421535386,200,VIZ Media,2012-04-10,28.75
124,Little Red Lies,Julie Johnston,fiction,1770493131,352,Tundra Books,2013-09-10,24.25
125,An  Evening at the Garden of Allah: A Gay Cabaret in Seattle,"Don Paulson,Roger Simpson",history,0231096984,184,Columbia University Press,1996-04-25,10.5
126,"Naoki Urasawa's 20th Century Boys, Volume 19 (20th Century Boys, #19)",Naoki Urasawa,mystery,1421535378,230,VIZ Media,2012-02-14,23.75
127,What the Dormouse Said: Lessons for Grownups from Children's Books,"Amy Gash,Judith Viorst",fiction,1565122410,146,Algonquin Books,1999-01-10,31.25
128,When Good Toys Go Bad,Debbie Cairo,unknown,1619213249,108,"Samhain Publishing, Ltd.",2012-12-25,41.0
129,Six Moon Dance,Sheri S. Tepper,fantasy,0380791986,544,Harper Voyager,1999-04-06,20.5
130,The Pilgrim Adventure,Susan Kilbride,history,147003798X,152,Createspace,2012-02-24,8.5
131,"Passion (Fallen, #3)","Lauren Kate,Justine Eyre",fantasy,0307706524,0,Listening Library (Audio),2011-06-14,13.0
132,In the Heat of the Bite (Regency Vampyre Trilogy #2),Lydia Dare,romance,1402245122,368,Sourcebooks Casablanca,2011-07-01,21.0
133,"Goodnight, Morning",Kristin Flynn,unknown,1451208421,180,America Star Books,2010-06-10,9.5
134,"New Moms, New Families: Priceless Gifts of Wisdom and Practical Advice from Mama Experts for the Fourth Trimester and First Year Postpartum","Gloria Ng,Kristen Graser,Katie Damota,Susanna Murray Highsmith,Dea Mendoza,Peggy Nederlof,Jenn Sepulveda,Louise Wen,Eileen Kennedy,Portia Lee,Sasha YungJu Lee,Bingo Marasigan,Marlette Marasigan,Michelle McIntyre,Anna Melman",unknown,1470037262,134,Createspace Independent Publishing Platform,2012-04-11,24.75
135,Cellular Spirits,Sheila Baranoski,fiction,0986419400,176,Sheila K Baranoski LLC,2015-02-07,35.0
136,"Flesh & Blood (Flesh, #2)",Ethan Stone,mystery,1632168812,260,DSP Publications,2015-06-09,14.5
137,Techniques of Jewelry Illustration and Color Rendering,"Adolfo Mattiello,Judith Evans,Cy Cylkowski",unknown,0964419300,152,Dumatt Corp,1995-01-01,21.5
138,Cellular Spirits,Sheila Baranoski,fiction,nan,119,Sheila K Baranoski LLC,2015-01-14,39.75
139,Vampirism And You! (Guidebook 01),Missouri Dalton,fantasy,1610404297,199,Prizm Books,2013-01-29,5.5
140,Passenger,Billy Cowie,fiction,1905847440,192,Old Street Publishing,2009-01-01,39.5
141,Deception (Defiance #2),C.J. Redwine,fantasy,0062294482,468,Balzer + Bray,2013-08-27,44.25
142,"Wolf Pact, Part I (Wolf Pact, #1)",Melissa de la Cruz,fantasy,0748119884,57,Hachette Digital,2012-09-06,34.75
143,Bailando con los osos,Fernando Krapp,unknown,nan,100,17g editora,2015-10-01,13.75
144,"The Beginning (Night Dreams, #1)",A. Lopez Jr.,unknown,0615729274,88,Ace-Hil-Ink,2012-12-14,39.0
145,Sweetwater (The Kihn #1),Rivi Jacks,romance,0615883311,446,Rivi Jacks,2013-10-29,34.75
146,"Desejo Subtil (Wallflowers, #1)",Lisa Kleypas,romance,nan,336,5 Sentidos (Porto Editora),2012-03-29,42.75
147,Seiyuu-ka! 12,Maki Minami,romance,4592196422,157,Hakusensha,2013-03-19,12.5
148,Graveyard Games,Brantwijn Serrah,unknown,nan,24,Foreplay and Fangs Erotic Romance,2015-05-05,44.25
149,The Revolutionary Paul Revere,Joel Miller,history,141856057X,320,Thomas Nelson,2010-04-06,29.75
150,Personal Demon (Women of the Otherworld #8),Kelley Armstrong,fantasy,0553588206,523,Bantam,2008-09-30,31.5
151,Slow Hands,Leslie Kelly,romance,0373794061,210,Harlequin,2008-06-01,6.25
152,"The Forgetting Curve (Memento Nora, #2)",Angie Smibert,fiction,0761462651,192,Marshall Cavendish,2012-05-15,17.25
153,操縱彩虹的少年,"Keigo Higashino,Dong Ye Gui Wu,Wang Yun Jie",unknown,9573332116,304,Huang Guan Wen Hua Chu Ban You Xian Gong Si,2016-03-07,21.75
154,"Über uns der Himmel, unter uns das Meer",Jojo Moyes,fiction,3499267330,512,Rowohlt Taschenbuch Verlag,2016-02-26,46.75
155,I Was Wrong,"Jim Bakker,Ken Abraham",history,0785271368,512,Thomas Nelson,1997-10-04,37.75
156,"The Call of Eirian (The Faelin Chronicles, #2)",C. Aubrey Hall,fantasy,0761462627,352,Skyscape,2012-05-15,29.75
157,Solaris: The Definitive Edition,"Stanislaw Lem,Bill Johnston,Alessandro Juliani",fiction,nan,8,Audible Frontiers,2011-06-07,5.75
158,Trail of Bones,C.W. Standiford,unknown,1432719017,400,Outskirts Press,2008-02-01,5.5
159,"More (More, #1)",Sloan Parker,romance,nan,245,"Loose Id, LLC",2010-03-23,10.5
160,The Truth about Islam,Mohammed Kilani,unknown,1449050263,108,Authorhouse,2009-11-17,7.25
161,"Manhattan Sonnet: Indonesian Poems, Short Stories, and Essays about New York","John H. McGlynn,Adila Suwarmo",unknown,9798083407,116,The Lontar Foundation,2001-12-30,33.5
162,Junkyard,Mike Austin,fiction,1442459611,40,Beach Lane Books,2014-01-07,15.25
163,The Grownup,Gillian Flynn,fiction,1101907320,66,Crown,2015-11-03,11.0
164,Who Are You? What Do You Want?,Mick Ukleja,unknown,1101131217,176,Perigee Books,2009-09-01,39.25
165,NPR Road Trips: Roadside Attractions: Stories That Take You Away...,"Noah Adams,National Public Radio",unknown,1598878557,60,HighBridge Company,2009-04-21,21.75
166,Last Chance Charlie,Ryan Loveless,romance,1632160188,198,Dreamspinner Press,2014-08-06,24.75
167,"20th Century Boys, Libro 15: ¡Viva la Expo! (20th Century Boys, #15)",Naoki Urasawa,mystery,8468472212,224,Planeta DeAgostini,2006-03-09,16.0
168,Rihanna: The Unauthorized Biography,Danny White,unknown,1782430474,224,Michael O'Mara,2013-09-01,35.75
169,The Temptation of Savannah O'Neill,Molly O'Keefe,romance,0373716516,249,Harlequin,2010-08-10,34.75
170,"Bayou Moon (The Edge, #2)",Ilona Andrews,fantasy,1101443545,480,Ace Books,2010-09-01,24.75
171,The Wisdom of Patanjali's Yoga Sutras: A New Translation and Guide by Ravi Ravindra,Ravi Ravindra,unknown,1596750251,220,Morning Light Press,2009-03-01,6.0
172,Nasty Women,"404 Ink,Laura Lam,Ren Aldridge,Nadine Aisha Jassat,Sasha De Buyl-Pisco,Elise Hines,Alice Tarbuck,Jonatha Kottler,Chitra Ramaswamy,Christina Neuwirth,Belle Owen,Zeba Talkhani,Katie Muriel,Joelle A. Owusu,Kaite Welsh,Claire L. Heuchan,Jen McGregor,Mel Reeve,Sim Bajwa,Becca Inglis,Rowan C. Clarke,Kristy Diaz",history,0995623821,240,404 Ink,2017-03-08,14.0
173,The Recipe Box,Sandra Lee,fiction,nan,264,Allen & Unwin,2013-12-01,49.0
174,續．星守犬,"Takashi   Murakami,Cun Shang Chong,Asma",fiction,9571354295,176,Shi Bao Wen Hua Chu Ban Qi Ye Gu Fen You Xian Gong Si,2011-10-02,14.25
175,"Romancing the Duke (Castles Ever After, #1)",Tessa Dare,romance,nan,405,Avon,2014-01-28,6.75
176,"Moonraker (James Bond, #3)",Ian Fleming,fiction,0718153855,304,Penguin 007,2008-05-20,49.25
177,The Four Million,O. Henry,fiction,1434625818,156,BiblioLife,2008-05-29,45.0
178,The Thing: Idol of Millions,"Dan Slott,Andrea DiVito,Kieron Dwyer",fiction,0785118136,192,Marvel,2006-09-06,13.5
179,"When the Duke Was Wicked (Scandalous Gentlemen of St. James, #1)",Lorraine Heath,romance,nan,384,Avon,2014-02-25,30.25
180,The Storyteller,Antonia Michaelis,mystery,1419700472,402,ABRAMS,2012-01-01,33.5
181,"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",Jonathan Auxier,fantasy,1419700251,400,Amulet Books,2011-08-01,30.5
182,Toad Triumphant,"William Horwood,Patrick Benson",fiction,0312183046,288,St. Martin's Griffin,1998-10-15,40.75
183,The Phantom Limb,"William Sleator,Ann Monticone",fantasy,0810984288,207,Harry N. Abrams,2011-10-01,19.25
184,Reel Life Starring Us,Lisa Greenwald,fiction,141970026X,304,Harry N. Abrams,2011-09-01,10.0
185,The Wind in the Willows,"Kenneth Grahame,Patrick Benson",fiction,000647926X,304,HarperCollins,2009-10-02,24.0
186,Αναβίωση,"Stephen King,Ephe Tsirone",fiction,nan,477,Bell,2015-05-08,21.25
187,Prince Of Lost Places,Kathy Hepinstall,fiction,0425193780,256,Berkley,2004-01-06,8.25
188,Lost In Place: Growing Up Absurd in Suburbia,Mark Salzman,fiction,0679767789,288,Vintage,1996-05-28,44.0
189,"Salt & Stone (Fire & Flood, #2)",Victoria Scott,fantasy,nan,320,Scholastic Press,2015-02-24,19.0
190,Snowed Under and Other Christmas Confusions,Serge Bloch,fiction,1402771312,32,Sterling Children's Books,2011-10-04,14.25
191,Winston 500,"Eric Ethan,Cameras in Action Staff",unknown,0836821416,24,Gareth Stevens Publishing,1999-01-01,14.75
192,The Long Result,John Brunner,fiction,0345296397,192,Ballantine Books,1970-02-12,32.5
193,"Bound in Shadows (Shadows Trilogy, #3)",Jennifer St. Clair,unknown,nan,73,Writers Exchange E-Publishing,2015-12-10,10.0
194,"Apocalypse and Allegiance: Worship, Politics, and Devotion in the Book of Revelation",J. Nelson Kraybill,history,1587432617,224,Brazos Press,2010-04-01,32.0
195,"The Pity Party: 8th Grade in the Life of Me, Cass",Alison Pollet,fiction,0439681952,160,Scholastic Paperbacks,2006-06-01,42.5
196,Stress Less and Enjoy Each Day: 10 Principles to Help You Reduce Tension and Enjoy More Peace,Anonymous,unknown,1400320313,112,Thomas Nelson,2012-07-09,21.75
197,是-ZE- かみのほん [ZE - Kami no Hon],"Yuki Shimizu,Zhi Shui yuki",unknown,4403663478,183,Xin Shu Guan,2012-05-30,21.75
198,"Totally Awesome, Super-Cool Bible Stories as Drawn by Nerdy Ned",Corey Adams,unknown,1400320259,240,Thomas Nelson,2012-10-01,30.0
199,Tales of Pain and Wonder,"Caitlin R. Kiernan,Richard A. Kirk",fantasy,189206538X,395,Meisha Merlin Publishing,2002-02-15,8.25
200,"The Flower Hunter: William Bartram, America's First Naturalist",Deborah Kogan Ray,science,0374345899,40,"Farrar, Straus and Giroux (BYR)",2004-04-01,20.0
201,"Midnight Rescue (Killer Instincts, #1)",Elle Kennedy,romance,nan,368,Signet,2012-05-01,32.75
202,Grace Happens Here: You Are Standing Where Grace is Happening,Max Lucado,unknown,1400320380,224,Thomas Nelson,2012-09-10,18.0
203,The Alchemists of Kush,Minister Faust,fantasy,nan,428,Narmer's Palette,2011-07-01,45.25
204,The Race for What's Left: The Global Scramble for the World's Last Resources,Michael T. Klare,science,0805091262,320,Metropolitan Books,2012-03-13,25.0
205,Il verde mi dona,Paola Grimaldi,unknown,nan,123,Rizzoli,2015-03-23,20.75
206,The Afrikaans,Nick Pirog,mystery,nan,357,Alex Tooms Inc,2012-03-01,47.5
207,"There Will Be Phlogiston (Prosperity, #5)",Alexis  Hall,romance,1626492565,150,Riptide Publishing,2014-12-08,44.0
208,Lizard Music,Daniel Pinkwater,fantasy,0399612483,157,Putnam Publishing Group,1989-01-01,19.5
209,Lust4Life,Sean-Paul Thomas,fiction,1499519273,400,Paul Thomas Publishing,2014-07-21,44.25
210,The Tree,Dana   Lyons,science,0970190719,32,Illumination Arts Publishing Company,2002-06-01,48.25
211,Karl Jaspers: From Selfhood to Being,Ronny Miron,unknown,9042035315,346,Brill/Rodopi,2012-01-01,43.25
212,"Stone Gods, Wooden Elephants",Bob Bergin,unknown,157023177X,318,Impact Publications,2001-12-03,48.25
213,Madigan Mine,Kirstyn McDermott,fantasy,0330425714,303,Picador (Pan Macmillan Australia),2010-07-01,23.5
214,"The Grand Slam: Bobby Jones, America, and the Story of Golf",Mark Frost,history,1401301088,512,Hachette Books,2004-11-03,46.5
215,Using SANs and NAS: Help for Storage Administrators,W. Curtis Preston,unknown,0596001533,226,O'Reilly Media,2002-02-12,15.25
216,Human Resources,Geoffrey Neil,mystery,0985022302,282,Priorities Intact Publishing,2012-11-01,42.25
217,"That One Thing (Alex and Jared - The College Years, #1)",Diane  Adams,romance,1614958319,38,Silver Publishing,2012-11-24,23.75
218,Troublemakers,John McNally,fiction,0877457271,224,University Of Iowa Press,2000-10-01,15.0
219,"Mardrömsakademien (Mardrömsakademien, #1) (Nightmare Academy #1)","Dean Lorey,Agneta Malmborg",fantasy,nan,299,Raben & Sjogren,2008-03-01,36.25
220,A Soldier's Promise,"Aija M. Butler,Thornne Xaiviannt",unknown,nan,100,Exposure Exchange Publications,2012-09-20,37.25
